0.0 1:1.00538608011	 2:-0.153843449791	 3:-1.13532125475	 
0.0 1:1.03433678365	 2:0.03964967786	 3:-1.08744327462	 
0.0 1:1.06302141577	 2:0.232469824427	 3:-1.0333432562	 
0.0 1:1.09169602652	 2:0.427237154446	 3:-0.967119888296	 
0.0 1:1.12049979814	 2:0.625689365245	 3:-0.883676158593	 
0.0 1:1.14849613176	 2:0.821440947437	 3:-0.785318713389	 
0.0 1:1.17416865521	 2:1.00372853219	 3:-0.678344270645	 
0.0 1:1.19601650986	 2:1.16193068788	 3:-0.568793337395	 
0.0 1:1.21311035294	 2:1.29041203257	 3:-0.454731631276	 
0.0 1:1.22514429677	 2:1.38897636475	 3:-0.325525334132	 
0.0 1:1.23184499476	 2:1.45770334415	 3:-0.170134989405	 
0.0 1:1.23315016388	 2:1.49681049135	 3:0.0151564418971	 
0.0 1:1.22946843179	 2:1.50682291255	 3:0.217728718061	 
0.0 1:1.22127214349	 2:1.48830733232	 3:0.422751056221	 
0.0 1:1.20913159133	 2:1.44261170524	 3:0.61631767941	 
0.0 1:1.19409584633	 2:1.37490273158	 3:0.789044350065	 
0.0 1:1.1773600439	 2:1.29151212371	 3:0.932926249039	 
0.0 1:1.15991072079	 2:1.19763467306	 3:1.04116413742	 
0.0 1:1.14030903935	 2:1.08524515536	 3:1.12096972756	 
0.0 1:1.11555140422	 2:0.937789303963	 3:1.18859405524	 
0.0 1:1.08269807568	 2:0.739090765537	 3:1.26009921652	 
0.0 1:1.0423055343	 2:0.493190675946	 3:1.33834554865	 
0.0 1:0.999471974447	 2:0.230393404623	 3:1.40904383726	 
0.0 1:0.959596370504	 2:-0.0172582542195	 3:1.45676377496	 
0.0 1:0.926399624449	 2:-0.227966307234	 3:1.46915034005	 
0.0 1:0.899076896597	 2:-0.407562869384	 3:1.4421425203	 
0.0 1:0.876068025595	 2:-0.566491370425	 3:1.37306352856	 
0.0 1:0.856040438452	 2:-0.713519859164	 3:1.26054288019	 
0.0 1:0.839025227713	 2:-0.847377825069	 3:1.11103720322	 
0.0 1:0.825559111227	 2:-0.963072620861	 3:0.933905293451	 
0.0 1:0.816158451747	 2:-1.05576805974	 3:0.738349228504	 
0.0 1:0.811022639282	 2:-1.12306035029	 3:0.531154943692	 
0.0 1:0.810107057597	 2:-1.16441816394	 3:0.317248423195	 
0.0 1:0.813352685163	 2:-1.17940588447	 3:0.101535239251	 
0.0 1:0.820212783957	 2:-1.17044066407	 3:-0.109433088129	 
0.0 1:0.829384655395	 2:-1.14436144591	 3:-0.306553819894	 
0.0 1:0.839500625668	 2:-1.10838730324	 3:-0.480505388619	 
0.0 1:0.849412520079	 2:-1.06875912349	 3:-0.624549630768	 
0.0 1:0.858691651113	 2:-1.02851143866	 3:-0.740416417091	 
0.0 1:0.867056522252	 2:-0.990022832114	 3:-0.831567988885	 
