0.0 1:-0.154835940562	 2:-0.75607760845	 3:-1.17304942816	 
0.0 1:-0.129132959071	 2:-0.583353404759	 3:-1.13623300064	 
0.0 1:-0.103429977581	 2:-0.410629201067	 3:-1.09941657312	 
0.0 1:-0.0777269960912	 2:-0.237904997377	 3:-1.06260014561	 
0.0 1:-0.0520194483977	 2:-0.0652777426834	 3:-1.02535029705	 
0.0 1:-0.0262854015366	 2:0.106786885353	 3:-0.985585164785	 
0.0 1:-0.000551354675664	 2:0.278851513391	 3:-0.945820032523	 
0.0 1:0.0251826921853	 2:0.450916141428	 3:-0.90605490026	 
0.0 1:0.050739773835	 2:0.615807801929	 3:-0.846530147035	 
0.0 1:0.0761110015321	 2:0.773166205698	 3:-0.766253271774	 
0.0 1:0.101482229229	 2:0.930524609468	 3:-0.685976396514	 
0.0 1:0.126853456926	 2:1.08788301323	 3:-0.605699521254	 
0.0 1:0.151912238868	 2:1.24133785902	 3:-0.51983684937	 
0.0 1:0.174950025586	 2:1.36954329138	 3:-0.397843527308	 
0.0 1:0.197987812304	 2:1.49774872375	 3:-0.275850205246	 
0.0 1:0.216098452077	 2:1.58503704062	 3:-0.134804524487	 
0.0 1:0.224628095267	 2:1.59276070312	 3:0.0432890839276	 
0.0 1:0.233157738457	 2:1.60048436562	 3:0.22138269234	 
0.0 1:0.241687381646	 2:1.60820802811	 3:0.399476300755	 
0.0 1:0.24578623488	 2:1.58605303484	 3:0.571570228869	 
0.0 1:0.241822173412	 2:1.50952646104	 3:0.732746259507	 
0.0 1:0.237858111944	 2:1.43299988724	 3:0.893922290145	 
0.0 1:0.233894050476	 2:1.35647331344	 3:1.05509832078	 
0.0 1:0.217583015903	 2:1.2123852507	 3:1.14704814119	 
0.0 1:0.198197915368	 2:1.05147618482	 3:1.22176248737	 
0.0 1:0.177441754006	 2:0.885132661208	 3:1.28187355786	 
0.0 1:0.155926754882	 2:0.715781341256	 3:1.33390218822	 
0.0 1:0.134411755757	 2:0.546430021302	 3:1.38593081856	 
0.0 1:0.112896756632	 2:0.377078701349	 3:1.43795944891	 
0.0 1:0.0913817575073	 2:0.207727381396	 3:1.48998807926	 
0.0 1:0.0698667583831	 2:0.0383760614434	 3:1.54201670961	 
0.0 1:0.0459361813129	 2:-0.134594131986	 3:1.54839749591	 
0.0 1:0.0204918382071	 2:-0.309832158572	 3:1.52617222705	 
0.0 1:-0.00495250489828	 2:-0.485070185156	 3:1.50394695819	 
0.0 1:-0.0285365185541	 2:-0.630776153659	 3:1.42742625324	 
0.0 1:-0.0500732295977	 2:-0.743981932648	 3:1.29115312745	 
0.0 1:-0.0716099406413	 2:-0.857187711637	 3:1.15488000165	 
0.0 1:-0.0931466516839	 2:-0.970393490621	 3:1.01860687585	 
0.0 1:-0.110516916915	 2:-1.04833404417	 3:0.863997757399	 
0.0 1:-0.123793506526	 2:-1.09162530667	 3:0.691372898549	 
0.0 1:-0.137070096138	 2:-1.13491656917	 3:0.5187480397	 
0.0 1:-0.150346685749	 2:-1.17820783167	 3:0.346123180851	 
0.0 1:-0.158784815262	 2:-1.18644623527	 3:0.171939060562	 
0.0 1:-0.161937036128	 2:-1.15639018026	 3:-0.00394851771795	 
0.0 1:-0.165089256992	 2:-1.12633412524	 3:-0.179836095999	 
0.0 1:-0.168241477856	 2:-1.09627807021	 3:-0.35572367428	 
