0.0 1:0.865738467965	 2:-0.765326558021	 3:-0.986038272943	 
0.0 1:0.88877772097	 2:-0.60567964951	 3:-1.04284313776	 
0.0 1:0.912409291607	 2:-0.444310664604	 3:-1.08209439498	 
0.0 1:0.937845877015	 2:-0.272081427996	 3:-1.11264818415	 
0.0 1:0.965850230194	 2:-0.0830353073539	 3:-1.14174266104	 
0.0 1:0.995013240442	 2:0.113427139563	 3:-1.1688060341	 
0.0 1:1.02327134497	 2:0.303277741824	 3:-1.19091312449	 
0.0 1:1.04886857828	 2:0.474516429914	 3:-1.20507231213	 
0.0 1:1.07184601396	 2:0.626992041965	 3:-1.20790678302	 
0.0 1:1.09289517656	 2:0.764842211937	 3:-1.19590029945	 
0.0 1:1.11262721673	 2:0.891670095599	 3:-1.16551772133	 
0.0 1:1.13107617519	 2:1.00724148721	 3:-1.11309104759	 
0.0 1:1.14802636063	 2:1.10966164468	 3:-1.0348947844	 
0.0 1:1.16325298794	 2:1.19701853529	 3:-0.927545954145	 
0.0 1:1.17646081507	 2:1.2673074365	 3:-0.790644740375	 
0.0 1:1.18731832218	 2:1.31847590034	 3:-0.625327337259	 
0.0 1:1.19548904283	 2:1.34852332958	 3:-0.433405156743	 
0.0 1:1.2005863808	 2:1.35601275429	 3:-0.223836999538	 
0.0 1:1.20219315367	 2:1.33985109608	 3:-0.00994257401681	 
0.0 1:1.19993633587	 2:1.29918422945	 3:0.195384492248	 
0.0 1:1.19404829959	 2:1.23633544117	 3:0.385879749569	 
0.0 1:1.18519771726	 2:1.15591792687	 3:0.560056287774	 
0.0 1:1.17402179847	 2:1.06231763055	 3:0.716578476128	 
0.0 1:1.16044132452	 2:0.955077380549	 3:0.854909247795	 
0.0 1:1.14376854396	 2:0.829626272093	 3:0.975189834568	 
0.0 1:1.12333664801	 2:0.681517718394	 3:1.07767585435	 
0.0 1:1.09940522631	 2:0.512170767412	 3:1.16475810352	 
0.0 1:1.07316026694	 2:0.328870101867	 3:1.24096255701	 
0.0 1:1.04582240459	 2:0.139132984503	 3:1.31078961402	 
0.0 1:1.01843503601	 2:-0.0502297987576	 3:1.37501305243	 
0.0 1:0.991832894925	 2:-0.233239200202	 3:1.43001928273	 
0.0 1:0.96682961975	 2:-0.40401376979	 3:1.47185900054	 
0.0 1:0.943825465913	 2:-0.558931817461	 3:1.49277568271	 
0.0 1:0.922647090364	 2:-0.697507231782	 3:1.47973001771	 
0.0 1:0.903077794206	 2:-0.819500021438	 3:1.41935614229	 
0.0 1:0.884823436188	 2:-0.925732397976	 3:1.30267397094	 
0.0 1:0.867462949514	 2:-1.01876748961	 3:1.12789156824	 
0.0 1:0.85056860468	 2:-1.10131186078	 3:0.894009759135	 
0.0 1:0.834330085825	 2:-1.17390168098	 3:0.615330853232	 
0.0 1:0.820136186231	 2:-1.2328578899	 3:0.335874919668	 
0.0 1:0.809510098188	 2:-1.27402806996	 3:0.10298564754	 
0.0 1:0.803132144432	 2:-1.29599664416	 3:-0.0586868651688	 
0.0 1:0.799734846209	 2:-1.30367264663	 3:-0.176935523707	 
0.0 1:0.797777811708	 2:-1.30284851191	 3:-0.286923246356	 
0.0 1:0.796724580287	 2:-1.29405425035	 3:-0.412766479283	 
0.0 1:0.798812310814	 2:-1.26328106441	 3:-0.548062932604	 
0.0 1:0.806752895306	 2:-1.19403197209	 3:-0.681184488402	 
0.0 1:0.822128423167	 2:-1.07710770452	 3:-0.801956155249	 
0.0 1:0.842771622561	 2:-0.927527172623	 3:-0.905025285117	 
0.0 1:0.865738467965	 2:-0.765326558021	 3:-0.986038272943	 
0.0 1:1.870586071	 2:0.319133090483	 3:-1.14156747543	 
0.0 1:1.88762888188	 2:0.484455477719	 3:-1.11466124886	 
0.0 1:1.90450496736	 2:0.630186018467	 3:-1.07731851023	 
0.0 1:1.91957742938	 2:0.761435907335	 3:-1.04461812193	 
0.0 1:1.93339484227	 2:0.881512212882	 3:-1.01449495184	 
0.0 1:1.94792537392	 2:0.992502200973	 3:-0.973719306627	 
0.0 1:1.96573737277	 2:1.09312271356	 3:-0.902641973916	 
0.0 1:1.99029304264	 2:1.17689650436	 3:-0.771949219993	 
0.0 1:2.02399285431	 2:1.2406493011	 3:-0.562100531743	 
0.0 1:2.06468278332	 2:1.29620594082	 3:-0.295973705124	 
