0.0 1:0.424981960303	 2:-1.44451543154	 3:-0.785652898867	 
0.0 1:0.419410236233	 2:-1.26023434269	 3:-0.814064746856	 
0.0 1:0.416971260746	 2:-1.06038718869	 3:-0.814263686996	 
0.0 1:0.412230912929	 2:-0.869532311738	 3:-0.834937481697	 
0.0 1:0.399934364216	 2:-0.711426671534	 3:-0.923168411594	 
0.0 1:0.382007439728	 2:-0.577731881715	 3:-1.06173925561	 
0.0 1:0.36935607707	 2:-0.419721549668	 3:-1.15299431934	 
0.0 1:0.362156774185	 2:-0.230616169108	 3:-1.19473799014	 
0.0 1:0.356732786102	 2:-0.0462847657533	 3:-1.22188956998	 
0.0 1:0.364558636231	 2:0.11782909667	 3:-1.13855227376	 
0.0 1:0.375439696575	 2:0.282887439337	 3:-1.02916223766	 
0.0 1:0.378586032052	 2:0.466823495577	 3:-0.98354462342	 
0.0 1:0.376882276478	 2:0.657869337015	 3:-0.978401224231	 
0.0 1:0.380295280248	 2:0.837650093119	 3:-0.930944802689	 
0.0 1:0.388302565986	 2:1.00890947806	 3:-0.845332360693	 
0.0 1:0.391988025059	 2:1.18880963232	 3:-0.795549015278	 
0.0 1:0.395622058343	 2:1.37489827009	 3:-0.745567089316	 
0.0 1:0.410206133473	 2:1.47298985321	 3:-0.611594392263	 
0.0 1:0.434239187943	 2:1.45997087092	 3:-0.408756745987	 
0.0 1:0.459659233935	 2:1.42077902582	 3:-0.196823407365	 
0.0 1:0.482684330375	 2:1.39697421098	 3:-0.00365649630094	 
0.0 1:0.504233783734	 2:1.38193937931	 3:0.177874540883	 
0.0 1:0.525461977508	 2:1.36664848658	 3:0.356650000561	 
0.0 1:0.547483783459	 2:1.34192944538	 3:0.541199507774	 
0.0 1:0.569805364077	 2:1.29266405924	 3:0.725775200517	 
0.0 1:0.589807317612	 2:1.1960490949	 3:0.88578218788	 
0.0 1:0.605365404328	 2:1.0462794574	 3:1.00257773749	 
0.0 1:0.61749757675	 2:0.878610019117	 3:1.08843012669	 
0.0 1:0.633608320519	 2:0.747146136872	 3:1.21180056224	 
0.0 1:0.655716908419	 2:0.62894633779	 3:1.38748814596	 
0.0 1:0.67894046187	 2:0.501348146154	 3:1.57168291308	 
0.0 1:0.689829597839	 2:0.370990809405	 3:1.65080643674	 
0.0 1:0.679503088421	 2:0.242629384235	 3:1.54989589506	 
0.0 1:0.662089318699	 2:0.101559494728	 3:1.38747004735	 
0.0 1:0.657294100731	 2:-0.0709630782612	 3:1.32901624259	 
0.0 1:0.666597047579	 2:-0.258824574997	 3:1.38875929939	 
