0.0 1:0.349157557759	 2:-0.807915614606	 3:-0.796531202322	 
0.0 1:0.35425314657	 2:-0.623658296863	 3:-0.844196059439	 
0.0 1:0.359348735382	 2:-0.439400979119	 3:-0.891860916556	 
0.0 1:0.366844388952	 2:-0.252010648859	 3:-0.92223339885	 
0.0 1:0.375521408858	 2:-0.0630781787456	 3:-0.944094181863	 
0.0 1:0.384198428764	 2:0.125854291368	 3:-0.965954964876	 
0.0 1:0.382811434769	 2:0.290834957981	 3:-1.05518879856	 
0.0 1:0.379367975334	 2:0.450921349149	 3:-1.15818953992	 
0.0 1:0.383809818854	 2:0.629774330742	 3:-1.20840250488	 
0.0 1:0.39248683876	 2:0.818706800855	 3:-1.2302632879	 
0.0 1:0.406215002471	 2:0.995495258231	 3:-1.20682870314	 
0.0 1:0.429608466737	 2:1.14904629898	 3:-1.09672199814	 
0.0 1:0.453001931003	 2:1.30259733973	 3:-0.986615293138	 
0.0 1:0.477700774696	 2:1.40712543091	 3:-0.843003577172	 
0.0 1:0.503912466168	 2:1.45483918986	 3:-0.660561785884	 
0.0 1:0.530124157641	 2:1.50255294881	 3:-0.478119994596	 
0.0 1:0.556335849114	 2:1.55026670776	 3:-0.295678203307	 
0.0 1:0.582547540587	 2:1.59798046671	 3:-0.113236412019	 
0.0 1:0.607528608722	 2:1.61779326259	 3:0.0728310109776	 
0.0 1:0.631561676052	 2:1.61611277566	 3:0.261691410241	 
0.0 1:0.655594743382	 2:1.61443228874	 3:0.450551809504	 
0.0 1:0.679627810712	 2:1.61275180181	 3:0.639412208768	 
0.0 1:0.703627089864	 2:1.61062553222	 3:0.828219997159	 
0.0 1:0.724325552178	 2:1.56495009821	 3:1.01188815215	 
0.0 1:0.745024014493	 2:1.5192746642	 3:1.19555630714	 
0.0 1:0.765722476807	 2:1.47359923019	 3:1.37922446213	 
0.0 1:0.763845636608	 2:1.30323717972	 3:1.44547498309	 
0.0 1:0.759825907326	 2:1.12103964713	 3:1.50058000706	 
0.0 1:0.755806178044	 2:0.938842114542	 3:1.55568503103	 
0.0 1:0.751786448762	 2:0.756644581954	 3:1.610790055	 
0.0 1:0.74776671948	 2:0.574447049365	 3:1.66589507897	 
0.0 1:0.739566433743	 2:0.388400887776	 3:1.69011511968	 
0.0 1:0.727204827746	 2:0.198523806068	 3:1.6835922897	 
0.0 1:0.71484322175	 2:0.00864672436032	 3:1.67706945972	 
0.0 1:0.702481615753	 2:-0.181230357347	 3:1.67054662975	 
0.0 1:0.687655675525	 2:-0.360249289547	 3:1.63958146743	 
0.0 1:0.662505646994	 2:-0.493779061672	 3:1.5062175338	 
0.0 1:0.637355618463	 2:-0.627308833798	 3:1.37285360018	 
0.0 1:0.612205589932	 2:-0.760838605923	 3:1.23948966655	 
