0.0 1:1.17916541307	 2:0.149029995763	 3:-1.01778825734	 
0.0 1:1.19245450901	 2:0.251302745965	 3:-1.00861168487	 
0.0 1:1.2058798742	 2:0.365186223993	 3:-0.989537499564	 
0.0 1:1.21783655095	 2:0.486267154586	 3:-0.95430559916	 
0.0 1:1.22674924576	 2:0.61012784254	 3:-0.896851400796	 
0.0 1:1.23172494226	 2:0.73224893388	 3:-0.815607267849	 
0.0 1:1.23255290119	 2:0.848009415861	 3:-0.713502509938	 
0.0 1:1.22905204748	 2:0.952783855791	 3:-0.593661956085	 
0.0 1:1.22118528049	 2:1.04332109273	 3:-0.458863889683	 
0.0 1:1.20949139707	 2:1.12186705271	 3:-0.310500411625	 
0.0 1:1.19465316851	 2:1.19204193353	 3:-0.149617077182	 
0.0 1:1.17732001701	 2:1.25725766638	 3:0.0227624423207	 
0.0 1:1.15737433638	 2:1.31613605067	 3:0.206117806234	 
0.0 1:1.13393149202	 2:1.36250875403	 3:0.400432004587	 
0.0 1:1.10607350032	 2:1.3899991775	 3:0.605709911349	 
0.0 1:1.07328241202	 2:1.39201603686	 3:0.819175796159	 
0.0 1:1.03664041551	 2:1.36110930693	 3:1.02693151132	 
0.0 1:0.997629733566	 2:1.28961427724	 3:1.21229830481	 
0.0 1:0.95766883664	 2:1.16991450651	 3:1.35905360751	 
0.0 1:0.916709891605	 2:0.995503744014	 3:1.46146705762	 
0.0 1:0.873238761747	 2:0.76098592958	 3:1.52430050061	 
0.0 1:0.825677558029	 2:0.46101327219	 3:1.55277196487	 
0.0 1:0.773930839657	 2:0.0997871639126	 3:1.55139698779	 
0.0 1:0.723832958848	 2:-0.280294270852	 3:1.52188114248	 
0.0 1:0.682700716068	 2:-0.627283724617	 3:1.46522751104	 
0.0 1:0.657629699711	 2:-0.890887429086	 3:1.3823318157	 
0.0 1:0.650627620578	 2:-1.05884301726	 3:1.27162050143	 
0.0 1:0.658614311868	 2:-1.15691952341	 3:1.12905073599	 
0.0 1:0.67828839471	 2:-1.21253952102	 3:0.950472327253	 
0.0 1:0.706428603941	 2:-1.24864018814	 3:0.73538141324	 
0.0 1:0.740134129209	 2:-1.27021712109	 3:0.497859452516	 
0.0 1:0.776584273866	 2:-1.27778052076	 3:0.255634233786	 
0.0 1:0.81301597792	 2:-1.2717910207	 3:0.0261076365691	 
0.0 1:0.847991824383	 2:-1.2515692056	 3:-0.180814370922	 
0.0 1:0.881400039274	 2:-1.21529561128	 3:-0.362721731776	 
0.0 1:0.913186485266	 2:-1.16110120624	 3:-0.517530298272	 
0.0 1:0.943232155237	 2:-1.08850301722	 3:-0.644023853384	 
0.0 1:0.971158562893	 2:-1.00256230407	 3:-0.744457902872	 
0.0 1:0.996522352144	 2:-0.9097263849	 3:-0.821955883195	 
0.0 1:1.01891351596	 2:-0.816234311212	 3:-0.879663114752	 
0.0 1:1.03868907571	 2:-0.723535002745	 3:-0.921228248616	 
0.0 1:1.05697308114	 2:-0.628287247451	 3:-0.950803266546	 
0.0 1:1.07492293107	 2:-0.526941566685	 3:-0.972562034236	 
0.0 1:1.09332827049	 2:-0.417754651856	 3:-0.989981844729	 
0.0 1:1.11150772907	 2:-0.306207874584	 3:-1.00375370042	 
0.0 1:1.12841218264	 2:-0.199588776546	 3:-1.01387203107	 
0.0 1:1.14304168474	 2:-0.104843295901	 3:-1.02033152751	 
0.0 1:1.1555273759	 2:-0.0210604899393	 3:-1.02313288606	 
0.0 1:1.1671314836	 2:0.0605274649171	 3:-1.02228280839	 
0.0 1:1.17916541307	 2:0.149029995763	 3:-1.01778825734	 
0.0 1:1.95253376771	 2:1.21485875584	 3:0.00508337402896	 
0.0 1:1.9297223002	 2:1.2581372928	 3:0.191060991763	 
0.0 1:1.90702187686	 2:1.27562314767	 3:0.384819032962	 
0.0 1:1.88520654828	 2:1.26995204795	 3:0.578653300936	 
0.0 1:1.86504979541	 2:1.24373234992	 3:0.764873903579	 
