0.0 1:0.493082997885	 2:0.275968246586	 3:-1.15207484163	 
0.0 1:0.476032230262	 2:0.164151962196	 3:-1.20857223854	 
0.0 1:0.457120671354	 2:0.0273396191225	 3:-1.22627951914	 
0.0 1:0.436896210768	 2:-0.129291328388	 3:-1.20894915066	 
0.0 1:0.415906738113	 2:-0.300563426094	 3:-1.16033360039	 
0.0 1:0.394700142997	 2:-0.481299219751	 3:-1.08418533558	 
0.0 1:0.373824315026	 2:-0.666321255115	 3:-0.984256823487	 
0.0 1:0.35382714381	 2:-0.850452077944	 3:-0.864300531387	 
0.0 1:0.335256518955	 2:-1.02851423399	 3:-0.728068926529	 
0.0 1:0.31866033007	 2:-1.19533026902	 3:-0.579314476177	 
0.0 1:0.304586466763	 2:-1.34572272878	 3:-0.421789647595	 
0.0 1:0.293582818641	 2:-1.47451415902	 3:-0.259246908043	 
0.0 1:0.286197275312	 2:-1.57652710551	 3:-0.095438724784	 
0.0 1:0.282977726384	 2:-1.64658411401	 3:0.065882434923	 
0.0 1:0.284472061465	 2:-1.67950773027	 3:0.220964103813	 
0.0 1:0.291228170163	 2:-1.67012050004	 3:0.366053814627	 
0.0 1:0.30368433065	 2:-1.61416529438	 3:0.497744016372	 
0.0 1:0.321288416042	 2:-1.51570067538	 3:0.615743683394	 
0.0 1:0.342962503387	 2:-1.38319992172	 3:0.721416321947	 
0.0 1:0.367623828606	 2:-1.22517695941	 3:0.81614067196	 
0.0 1:0.394189627612	 2:-1.05014571452	 3:0.901295473366	 
0.0 1:0.421577136322	 2:-0.866620113093	 3:0.978259466097	 
0.0 1:0.448703597072	 2:-0.683114029392	 3:1.04841137728	 
0.0 1:0.474727483992	 2:-0.506194899156	 3:1.11264846914	 
0.0 1:0.499687203514	 2:-0.335330206358	 3:1.17011178228	 
0.0 1:0.523821738115	 2:-0.168369037455	 3:1.21954203558	 
0.0 1:0.54737007027	 2:-0.00316047890376	 3:1.25967994791	 
0.0 1:0.570571182458	 2:0.162446382841	 3:1.28926623819	 
0.0 1:0.593664057153	 2:0.330602461319	 3:1.30704162527	 
0.0 1:0.616887676832	 2:0.503458670077	 3:1.31174682806	 
0.0 1:0.640399760387	 2:0.682590604865	 3:1.30200230789	 
0.0 1:0.663471422067	 2:0.863297010436	 3:1.27511648803	 
0.0 1:0.68482819806	 2:1.03701412952	 3:1.22759042045	 
0.0 1:0.703187648335	 2:1.19512173601	 3:1.15591335355	 
0.0 1:0.717270296145	 2:1.32901753408	 3:1.05658963425	 
0.0 1:0.72628714399	 2:1.43306702637	 3:0.928622698069	 
0.0 1:0.730482560263	 2:1.50788841984	 3:0.77628118387	 
0.0 1:0.730231750187	 2:1.55489159074	 3:0.60450036998	 
0.0 1:0.725909918986	 2:1.57548641532	 3:0.418215534729	 
0.0 1:0.717892271881	 2:1.57108276981	 3:0.222361956451	 
0.0 1:0.706554014096	 2:1.54309053042	 3:0.0218749134774	 
0.0 1:0.692270350854	 2:1.49291957342	 3:-0.178310315862	 
0.0 1:0.675416487378	 2:1.42197977504	 3:-0.373258453235	 
0.0 1:0.656367628891	 2:1.33168101152	 3:-0.558034220309	 
0.0 1:0.635498980615	 2:1.22343315907	 3:-0.727702338753	 
0.0 1:0.613185747774	 2:1.09864609396	 3:-0.877327530237	 
