0.0 1:0.462779509766	 2:-0.059191883649	 3:-0.969731478018	 
0.0 1:0.439730171618	 2:0.124665221344	 3:-0.96123198023	 
0.0 1:0.416035468079	 2:0.312588812603	 3:-0.95548111145	 
0.0 1:0.393466381015	 2:0.497413801	 3:-0.933905499038	 
0.0 1:0.373788729447	 2:0.67198280966	 3:-0.87802230547	 
0.0 1:0.358217025801	 2:0.829962003076	 3:-0.779016353814	 
0.0 1:0.346932431105	 2:0.966561165259	 3:-0.646193219987	 
0.0 1:0.340001186706	 2:1.0771713668	 3:-0.490847132701	 
0.0 1:0.337075389025	 2:1.16099376084	 3:-0.322720504468	 
0.0 1:0.336795931148	 2:1.22653244721	 3:-0.147766731898	 
0.0 1:0.337652263042	 2:1.28368478387	 3:0.0286282513078	 
0.0 1:0.338504422618	 2:1.34003644341	 3:0.202721514902	 
0.0 1:0.339820794287	 2:1.39314041632	 3:0.377900740731	 
0.0 1:0.342505979743	 2:1.43782861937	 3:0.55948758209	 
0.0 1:0.347463881584	 2:1.46893211053	 3:0.752786176839	 
0.0 1:0.355374893275	 2:1.48102644541	 3:0.957553455098	 
0.0 1:0.366378562857	 2:1.46806891726	 3:1.1601232626	 
0.0 1:0.380534242954	 2:1.42392514473	 3:1.34483909853	 
0.0 1:0.397901286189	 2:1.34246074646	 3:1.49604446205	 
0.0 1:0.418489065085	 2:1.21869446486	 3:1.60018494797	 
0.0 1:0.441877216894	 2:1.05755974713	 3:1.66178023658	 
0.0 1:0.467426327875	 2:0.86904390988	 3:1.69456299727	 
0.0 1:0.494495239074	 2:0.663174534701	 3:1.7123393008	 
0.0 1:0.522443477601	 2:0.449890647346	 3:1.72868550226	 
0.0 1:0.550654696672	 2:0.236017127573	 3:1.7490997973	 
0.0 1:0.578542492697	 2:0.0245138515282	 3:1.76905448188	 
0.0 1:0.605522328614	 2:-0.181900231909	 3:1.78339688162	 
0.0 1:0.631009667358	 2:-0.380506173857	 3:1.78697432214	 
0.0 1:0.654419971866	 2:-0.568585025435	 3:1.77463412907	 
0.0 1:0.675168705076	 2:-0.743417837764	 3:1.74122362803	 
0.0 1:0.692671329924	 2:-0.902285661963	 3:1.68159014464	 
0.0 1:0.706343309347	 2:-1.04246954915	 3:1.59058100452	 
0.0 1:0.715611316703	 2:-1.16125926478	 3:1.46326230067	 
0.0 1:0.720326580469	 2:-1.25627459908	 3:1.30298516787	 
0.0 1:0.720885419768	 2:-1.32555906438	 3:1.12373799052	 
0.0 1:0.717735621577	 2:-1.36755943811	 3:0.939510272971	 
0.0 1:0.711522797209	 2:-1.38546002117	 3:0.755492424736	 
0.0 1:0.703027993898	 2:-1.38568855184	 3:0.570850755705	 
0.0 1:0.693034894325	 2:-1.37473588251	 3:0.38463435277	 
0.0 1:0.682327181173	 2:-1.35909286554	 3:0.195892302825	 
0.0 1:0.671627048739	 2:-1.34468464162	 3:0.00390416405238	 
0.0 1:0.660492862806	 2:-1.32672877789	 3:-0.187688233244	 
0.0 1:0.647443311426	 2:-1.29087749264	 3:-0.371346129696	 
0.0 1:0.630960523513	 2:-1.22244664905	 3:-0.53939373466	 
0.0 1:0.609903550393	 2:-1.10978458734	 3:-0.684365749859	 
0.0 1:0.585554563835	 2:-0.960734527516	 3:-0.800150068945	 
0.0 1:0.560148995306	 2:-0.790825024763	 3:-0.881211168255	 
0.0 1:0.535191579034	 2:-0.611824122161	 3:-0.927455623316	 
0.0 1:0.510728461688	 2:-0.427979565492	 3:-0.949615413706	 
0.0 1:0.486633239766	 2:-0.242649453179	 3:-0.959703158812	 
0.0 1:0.906371485043	 2:0.714696378021	 3:-0.68525258257	 
0.0 1:0.908620435744	 2:0.890648307647	 3:-0.58101766509	 
0.0 1:0.91414542363	 2:1.03494626031	 3:-0.455827064412	 
0.0 1:0.922591865138	 2:1.14998195456	 3:-0.31241906318	 
0.0 1:0.933605176706	 2:1.23814710891	 3:-0.153531944039	 
0.0 1:0.946830774772	 2:1.30183344192	 3:0.0180960103676	 
0.0 1:0.961914075772	 2:1.34343267209	 3:0.199726517395	 
